,path,0,1,2,3,4,5,6,7,8,9
0,ACDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
1,ACDEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
2,ACEDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
3,ACEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
4,AEDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
5,AEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
6,AECDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
7,AB,occupied,occupied,free,occupied,occupied,occupied,free,free,occupied,occupied
8,AC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
9,AEDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
10,AEBDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
11,AEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
12,ABEDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
13,ABEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
14,ABDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
15,ABDEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
16,ACD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
17,ACED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
18,ACEBD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
19,AED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
20,AEBD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
21,AECD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
22,ABED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
23,ABECD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
24,ABD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
25,ACDBE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
26,ACDE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
27,ACE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
28,AE,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied
29,ABE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
30,ABDCE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
31,ABDE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
32,BA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,free
33,BEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
34,BEDCA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
35,BECA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
36,BDCEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
37,BDCA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
38,BDEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
39,BDECA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
40,BAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
41,BAEDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
42,BAEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
43,BEAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
44,BEDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
45,BEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
46,BDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
47,BDEAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
48,BDEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
49,BACD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
50,BACED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
51,BAED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
52,BAECD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
53,BEACD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
54,BED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
55,BECD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
56,BD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
57,BACDE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
58,BACE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
59,BAE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
60,BE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
61,BDCE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
62,BDCAE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
63,BDE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
64,CDBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
65,CDBEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
66,CDEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
67,CDEBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
68,CEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
69,CEDBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
70,CEBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
71,CA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free
72,CDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
73,CDEAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
74,CDEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
75,CEAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
76,CEDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
77,CEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
78,CAEDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
79,CAEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
80,CAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
81,CD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
82,CEABD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
83,CED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
84,CEBD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
85,CAED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
86,CAEBD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
87,CABED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
88,CABD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
89,CDBAE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
90,CDBE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
91,CDE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
92,CE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
93,CAE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
94,CABE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
95,CABDE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
96,DBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
97,DBEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
98,DBECA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
99,DCEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
100,DCEBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
101,DCA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
102,DEA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
103,DEBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
104,DECA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
105,DB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
106,DCEAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
107,DCEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
108,DCAEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
109,DCAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
110,DEAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
111,DEB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
112,DECAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
113,DBAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
114,DBAEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
115,DBEAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
116,DBEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
117,DC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
118,DEAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
119,DEBAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
120,DEC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
121,DBACE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
122,DBAE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
123,DBE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
124,DCE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
125,DCAE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
126,DCABE,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
127,DE,occupied,occupied,occupied,occupied,occupied,free,free,free,free,occupied
128,EA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
129,EDBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
130,EDCA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
131,EBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
132,EBDCA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
133,ECDBA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
134,ECA,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
135,EACDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
136,EAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
137,EDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
138,EDCAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
139,EB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
140,ECDB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
141,ECAB,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
142,EAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
143,EABDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
144,EDBAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
145,EDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
146,EBAC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
147,EBDC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
148,EC,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
149,EACD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
150,EABD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
151,ED,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
152,EBACD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
153,EBD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
154,ECD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
155,ECABD,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied
