,path,latency,noise,snr
0,A ,0.0025017307139861404,0.0005,33.01029995663981
1,A ->B ,0.0025017307139861404,0.0005,33.01029995663981
2,A ,0.005503807570769509,0.0011,29.58607314841775
3,A ->C ,0.005503807570769509,0.0011,29.58607314841775
4,A ->C ->D ,0.005503807570769509,0.0011,29.58607314841775
5,A ->C ->D ->B ,0.005503807570769509,0.0011,29.58607314841775
6,A ,0.010006922855944563,0.002,26.989700043360187
7,A ->C ,0.010006922855944563,0.002,26.989700043360187
8,A ->C ->D ,0.010006922855944563,0.002,26.989700043360187
9,A ->C ->D ->E ,0.010006922855944563,0.002,26.989700043360187
10,A ->C ->D ->E ->F ,0.010006922855944563,0.002,26.989700043360187
11,A ->C ->D ->E ->F ->B ,0.010006922855944563,0.002,26.989700043360187
12,A ,0.00800553828475565,0.0016,27.958800173440753
13,A ->C ,0.00800553828475565,0.0016,27.958800173440753
14,A ->C ->D ,0.00800553828475565,0.0016,27.958800173440753
15,A ->C ->D ->F ,0.00800553828475565,0.0016,27.958800173440753
16,A ->C ->D ->F ->B ,0.00800553828475565,0.0016,27.958800173440753
17,A ,0.005503807570769509,0.0011,29.58607314841775
18,A ->C ,0.005503807570769509,0.0011,29.58607314841775
19,A ->C ->E ,0.005503807570769509,0.0011,29.58607314841775
20,A ->C ->E ->D ,0.005503807570769509,0.0011,29.58607314841775
21,A ->C ->E ->D ->B ,0.005503807570769509,0.0011,29.58607314841775
22,A ,0.00800553828475565,0.0016,27.958800173440753
23,A ->C ,0.00800553828475565,0.0016,27.958800173440753
24,A ->C ->E ,0.00800553828475565,0.0016,27.958800173440753
25,A ->C ->E ->D ,0.00800553828475565,0.0016,27.958800173440753
26,A ->C ->E ->D ->F ,0.00800553828475565,0.0016,27.958800173440753
27,A ->C ->E ->D ->F ->B ,0.00800553828475565,0.0016,27.958800173440753
28,A ,0.00800553828475565,0.0016,27.958800173440753
29,A ->C ,0.00800553828475565,0.0016,27.958800173440753
30,A ->C ->E ,0.00800553828475565,0.0016,27.958800173440753
31,A ->C ->E ->F ,0.00800553828475565,0.0016,27.958800173440753
32,A ->C ->E ->F ->B ,0.00800553828475565,0.0016,27.958800173440753
33,A ,0.011007615141539018,0.0022,26.575773191777937
34,A ->C ,0.011007615141539018,0.0022,26.575773191777937
35,A ->C ->E ,0.011007615141539018,0.0022,26.575773191777937
36,A ->C ->E ->F ,0.011007615141539018,0.0022,26.575773191777937
37,A ->C ->E ->F ->D ,0.011007615141539018,0.0022,26.575773191777937
38,A ->C ->E ->F ->D ->B ,0.011007615141539018,0.0022,26.575773191777937
39,A ,0.0025017307139861404,0.0005,33.01029995663981
40,A ->D ,0.0025017307139861404,0.0005,33.01029995663981
41,A ->D ->B ,0.0025017307139861404,0.0005,33.01029995663981
42,A ,0.010006922855944563,0.002,26.989700043360187
43,A ->D ,0.010006922855944563,0.002,26.989700043360187
44,A ->D ->C ,0.010006922855944563,0.002,26.989700043360187
45,A ->D ->C ->E ,0.010006922855944563,0.002,26.989700043360187
46,A ->D ->C ->E ->F ,0.010006922855944563,0.002,26.989700043360187
47,A ->D ->C ->E ->F ->B ,0.010006922855944563,0.002,26.989700043360187
48,A ,0.007004845999161193,0.0014,28.53871964321762
49,A ->D ,0.007004845999161193,0.0014,28.53871964321762
50,A ->D ->E ,0.007004845999161193,0.0014,28.53871964321762
51,A ->D ->E ->F ,0.007004845999161193,0.0014,28.53871964321762
52,A ->D ->E ->F ->B ,0.007004845999161193,0.0014,28.53871964321762
53,A ,0.005003461427972281,0.001,30.0
54,A ->D ,0.005003461427972281,0.001,30.0
55,A ->D ->F ,0.005003461427972281,0.001,30.0
